Expression: painstaking work; travail de fourmi
Despite his young age, his illness made him feel like he had one foot in the grave; Malgré son jeune âge, sa maladie le faisait se sentir comme s'il avait un pied dans la tombe
The sudden news of the loss made her feel like she had one foot in the grave; La nouvelle soudaine de la perte la fit sentir comme si elle avait un pied dans la tombe
Living alone in her old age, she often felt like she had one foot in the grave; Vivant seule à un âge avancé, elle avait souvent l'impression d'avoir un pied dans la tombe
He was so weak that he appeared to have one foot in the grave; Il était si faible qu'il semblait avoir un pied dans la tombe
As the illness progressed, she felt like she had one foot in the grave; Alors que la maladie progressait, elle avait l'impression d'avoir un pied dans la tombe

Expression: be crazy; être à la masse
She's so unpredictable, she could be crazy sometimes.; Elle est tellement imprévisible, elle pourrait être folle par moments.
Don't mind him, he's just acting crazy today.; Ne lui prête pas attention, il agit juste de manière folle aujourd'hui.
The roller coaster ride was so thrilling, it made me feel a little crazy.; Le tour de montagnes russes était si palpitant, ça m'a fait sentir un peu fou.
She has this crazy idea of traveling the world by herself.; Elle a cette idée folle de voyager à travers le monde toute seule.
It's crazy how fast time flies when you're having fun.; C'est fou comme le temps passe vite quand on s'amuse.
I can't believe he made that crazy decision without consulting anyone.; Je n'arrive pas à croire qu'il a pris cette décision folle sans consulter personne.
The street performers were doing some crazy stunts to entertain the crowd.; Les artistes de rue faisaient des acrobaties folles pour divertir la foule.
He was talking about some crazy conspiracy theories that no one believed.; Il parlait de théories du complot folles que personne ne croyait.
The fashion show had some really crazy outfits that could only work on the runway.; Le défilé de mode présentait des tenues vraiment folles qui ne pourraient fonctionner que sur le podium.
She's known for her crazy dance moves that always get everyone's attention.; Elle est connue pour ses pas de danse fous qui attirent toujours l'attention.

Expression: be more Catholic than the Pope; être plus royaliste que le roi
be more Catholic than the Pope; être plus catholique que le pape
She attends church every day and prays multiple times a day, she's definitely more Catholic than the Pope.; Elle va à l'église tous les jours et prie plusieurs fois par jour, elle est définitivement plus catholique que le pape.

cry over spilled milk; pleurer sur du lait renversé
There's no point in crying over spilled milk, let's just clean it up and move on.; Il n'y a pas lieu de pleurer sur du lait renversé, nettoyons simplement et passons à autre chose.

hit the nail on the head; toucher dans le mille
His explanation hit the nail on the head, it clarified everything for me.; Son explication a touché dans le mille, elle a tout clarifié pour moi.

a blessing in disguise; un mal pour un bien
Losing my job turned out to be a blessing in disguise as it pushed me to pursue my passion.; Perdre mon emploi s'est avéré être un mal pour un bien car cela m'a poussé à poursuivre ma passion.

cost an arm and a leg; coûter les yeux de la tête
Buying designer clothes can cost an arm and a leg, but some people find it worth it.; Acheter des vêtements de marque peut coûter les yeux de la tête, mais certaines personnes trouvent que cela en vaut la peine.

burn the midnight oil; brûler la chandelle par les deux bouts
During exam season, students often burn the midnight oil to study for their finals.; Pendant la période des examens, les étudiants brûlent souvent la chandelle par les deux bouts pour réviser pour leurs examens.

barking up the wrong tree; chercher midi à quatorze heures
If you think I'm the one who broke the vase, you're barking up the wrong tree - it was the cat!; Si tu crois que c'est moi qui ai cassé le vase, tu cherches midi à quatorze heures - c'était le chat !

on the ball; être à l’affût
She's always on the ball at work, never missing a deadline.; Elle est toujours à l’affût au travail, ne manquant jamais une date limite.

once in a blue moon; une fois tous les trente-six du mois
I only visit my hometown once in a blue moon, as I live far away now.; Je ne visite ma ville natale qu'une fois tous les trente-six du mois, car je vis loin maintenant.

let the cat out of the bag; vendre la mèche
I accidentally let the cat out of the bag about the surprise party, now everyone knows!; J'ai accidentellement vendu la mèche sur la fête surprise, maintenant tout le monde est au courant!

Expression: not having invented the wheel; ne pas avoir inventé la poudre
not having invented the wheel; n'ayant pas inventé la roue
He claimed credit for the new idea, completely ignoring the fact that not having invented the wheel; Il a revendiqué le mérite de la nouvelle idée, ignorant complètement le fait de n'avoir pas inventé la roue

struggling to stay afloat; luttant pour survivre
The company has been struggling to stay afloat amidst increasing competition; L'entreprise a du mal à survivre face à une concurrence croissante

barking up the wrong tree; chercher midi à quatorze heures
If you think he is the culprit, you are barking up the wrong tree; Si tu penses qu'il est le coupable, tu cherches midi à quatorze heures

painting the town red; faire la fête
They were in the mood for celebrating and decided to paint the town red; Ils étaient d'humeur à célébrer et ont donc décidé de faire la fête

killing two birds with one stone; faire d'une pierre deux coups
By using renewable energy sources, they were able to reduce costs and decrease their carbon footprint, killing two birds with one stone; En utilisant des sources d'énergie renouvelables, ils ont pu réduire les coûts et diminuer leur empreinte carbone, faisant d'une pierre deux coups

the icing on the cake; la cerise sur le gâteau
Winning the championship was great, but being awarded MVP was the icing on the cake; Gagner le championnat était génial, mais être désigné MVP a été la cerise sur le gâteau

making a mountain out of a molehill; en faire tout un fromage
She tends to make a mountain out of a molehill about minor issues; Elle a tendance à en faire tout un fromage pour des problèmes mineurs

a watched pot never boils; la nuit porte conseil
She couldn't wait for the call, feeling like a watched pot never boils; Elle ne pouvait pas attendre l'appel, se sentant comme la nuit porte conseil

back to square one; revenir à la case départ
After all the progress we made, we ended up back to square one; Après tout le progrès que nous avons réalisé, nous en sommes revenus à la case départ

as right as rain; en pleine forme
After a good night's sleep, she felt as right as rain; Après une bonne nuit de sommeil, elle se sentait en pleine forme

Expression: see stars; voir trente-six chandelles
I got hit on the head and saw stars for a few seconds; Je me suis pris un coup sur la tête et j'ai vu des étoiles pendant quelques secondes.
After that intense workout, I could almost see stars from exhaustion; Après cet entraînement intense, je pouvais presque voir des étoiles d'épuisement.
The amusement park ride was so thrilling, it made me see stars; Le manège du parc d'attractions était tellement excitant, il m'a fait voir des étoiles.
When he was punched in the face, he saw stars and fell to the ground; Quand il a reçu un coup de poing au visage, il a vu des étoiles et est tombé par terre.
The boxer was dazed by the powerful punch and started seeing stars; Le boxeur était étourdi par le coup puissant et a commencé à voir des étoiles.
Watching the fireworks burst in the night sky made her feel like she could see stars; Regarder les feux d'artifice éclater dans le ciel nocturne lui a donné l'impression de voir des étoiles.
The impact was so strong that it caused him to see stars; L'impact était tellement fort qu'il lui a fait voir des étoiles.
When she accidentally bumped her head on the door, she saw stars for a moment; Quand elle a cogné sa tête par accident contre la porte, elle a vu des étoiles pendant un moment.
The sudden blow to his head made him see stars and feel disoriented; Le coup soudain sur sa tête lui a fait voir des étoiles et se sentir désorienté.
I was so surprised that I saw stars for a second; J'étais tellement surpris que j'ai vu des étoiles pendant une seconde.

Expression: justifiably; à bon droit
The team's victory was justifiably celebrated by the fans; La victoire de l'équipe a été justifiée par les supporters
She was justifiably proud of her academic achievements; Elle était légitimement fière de ses performances académiques
The company's decision to expand was justifiably met with enthusiasm; La décision de l'entreprise d'élargir ses activités a été justement accueillie avec enthousiasme
His promotion was justifiably a cause for celebration; Sa promotion était justifiée et a été un motif de célébration
The criticism he received was justifiably harsh; Les critiques qu'il a reçues étaient justifiées et sévères
Her suspicions were justifiably confirmed by the evidence presented; Ses soupçons ont été justifiés par les preuves présentées
The decision to cancel the event was justifiably made due to bad weather; La décision d'annuler l'événement a été justifiée en raison du mauvais temps
The overflow of emotions was justifiably felt after the emotional speech; Le débordement d'émotions était justifié après le discours émouvant
Their concerns were justifiably ignored by the management; Leurs préoccupations ont été justifiément ignorées par la direction
His achievements are justifiably recognized by his peers; Ses réalisations sont légitimement reconnues par ses pairs

Expression: snowballing; effet boule de neige
The snowballing effect of climate change is becoming increasingly evident in the melting glaciers.; L'effet boule de neige du changement climatique devient de plus en plus visible dans la fonte des glaciers.
After the successful launch, the company experienced a snowballing growth in revenue.; Après le lancement réussi, l'entreprise a connu une croissance exponentielle des revenus.
The situation quickly escalated, snowballing into a major conflict.; La situation s'est rapidement envenimée, dégénérant en un conflit majeur.
The project's popularity started snowballing, attracting attention from investors worldwide.; La popularité du projet a commencé à prendre de l'ampleur, attirant l'attention des investisseurs du monde entier.
By being honest with each other, they prevented their small disagreement from snowballing into a major argument.; En étant honnêtes l'un envers l'autre, ils ont empêché leur petit désaccord de se transformer en une grande dispute.
Misunderstandings can snowball quickly if not addressed promptly.; Les malentendus peuvent prendre rapidement de l'ampleur s'ils ne sont pas traités rapidement.
The financial crisis had a snowballing effect on the global economy, leading to widespread repercussions.; La crise financière a eu un effet boule de neige sur l'économie mondiale, entraînant des répercussions généralisées.
With the right marketing strategy, the company's social media presence began snowballing, attracting a larger audience.; Avec la bonne stratégie marketing, la présence de l'entreprise sur les réseaux sociaux a commencé à prendre de l'ampleur, attirant un public plus large.
The team's momentum was snowballing, leading them to victory after victory.; L'élan de l'équipe prenait de l'ampleur, les menant de victoire en victoire.
A simple misunderstanding can easily snowball into a major disagreement if not clarified in time.; Un simple malentendu peut facilement prendre de l'ampleur et se transformer en un grand désaccord s'il n'est pas clarifié à temps.

Expression: snowball effect; effet boule de neige
The small conflict quickly escalated into a snowball effect, causing a major rift within the team.; Le petit conflit a rapidement pris de l'ampleur en effet boule de neige, créant une importante division au sein de l'équipe.
Her innovative idea sparked a snowball effect, inspiring other team members to contribute their own ideas.; Son idée innovante a déclenché un effet boule de neige, inspirant les autres membres de l'équipe à apporter leurs propres idées.
The initial success of the marketing campaign led to a snowball effect of increased sales and brand visibility.; Le succès initial de la campagne marketing a entraîné un effet boule de neige de ventes accrues et de visibilité de la marque.
The positive feedback from customers created a snowball effect of word-of-mouth referrals.; Les retours positifs des clients ont créé un effet boule de neige de recommandations de bouche à oreille.
His investment in the startup had a snowball effect, attracting other investors to join the venture.; Son investissement dans la start-up a eu un effet boule de neige, attirant d'autres investisseurs à rejoindre l'aventure.
The team's dedication and hard work generated a snowball effect of productivity and success.; Le dévouement et le travail acharné de l'équipe ont engendré un effet boule de neige de productivité et de succès.
The company's decision to prioritize sustainability initiatives had a snowball effect on its reputation and customer loyalty.; La décision de l'entreprise de prioriser les initiatives de durabilité a eu un effet boule de neige sur sa réputation et la fidélité de la clientèle.
The viral video created a snowball effect of new followers and engagement on social media platforms.; La vidéo virale a créé un effet boule de neige de nouveaux abonnés et d'engagement sur les plateformes de médias sociaux.
The community cleanup project had a snowball effect, inspiring neighboring towns to initiate similar initiatives.; Le projet de nettoyage de la communauté a eu un effet boule de neige, inspirant les villes voisines à initier des initiatives similaires.
The implementation of energy-efficient practices in the office had a snowball effect on cost savings and environmental impact.; La mise en œuvre de pratiques éco-énergétiques au bureau a eu un effet boule de neige sur les économies de coûts et l'impact environnemental.

Expression: go screw himself; aller se faire voir
He can go screw himself for all I care; Il peut aller se faire foutre pour tout ce que je m'en soucie
Don't let them bother you, just tell them to go screw themselves; Ne les laissez pas vous embêter, dites-leur simplement d'aller se faire foutre
Doing this project alone is a piece of cake for me; Faire ce projet seul est un jeu d'enfant pour moi
Passing this exam will be a piece of cake for Sarah; Réussir cet examen sera du gâteau pour Sarah
He always manages to make complicated tasks seem like a piece of cake; Il arrive toujours à faire paraître des tâches compliquées simples comme bonjour
She made the presentation look like a piece of cake despite the technical glitches; Elle a rendu la présentation facile malgré les problèmes techniques
The idea of running a marathon seems like a piece of cake to him; L'idée de courir un marathon lui semble facile
To her, solving complex equations is as easy as a piece of cake; Pour elle, résoudre des équations complexes est un jeu d'enfant
After facing his fears, giving a speech was a piece of cake; Après avoir affronté ses peurs, faire un discours était un jeu d'enfant
To some people, skydiving might be a piece of cake, but not for me; Pour certaines personnes, le saut en parachute peut être une promenade de santé, mais pas pour moi

Expression: suck it; aller se faire voir
suck it; The movie was so boring, I wanted to suck it; Le film était tellement ennuyeux, j'avais envie de le zapper
beat around the bush; Stop beating around the bush and just tell me what you want; Arrête de tourner autour du pot et dis-moi simplement ce que tu veux
go the extra mile; She always goes the extra mile to help others; Elle se donne toujours à fond pour aider les autres
hit the hay; I'm exhausted, let's hit the hay early tonight; Je suis épuisé, allons nous coucher tôt ce soir
spill the beans; Come on, spill the beans about what happened last night; Allez, raconte-moi ce qui s'est passé hier soir
jump the gun; Let's not jump the gun, we need to wait for the right moment; Ne nous précipitons pas, il faut attendre le bon moment
bend over backwards; She's always bending over backwards to make everyone happy; Elle se plie en quatre pour rendre tout le monde heureux
raining cats and dogs; It's raining cats and dogs outside, we'll need an umbrella; Il pleut des cordes dehors, on aura besoin d'un parapluie
burn the midnight oil; I have to burn the midnight oil to finish this project on time; Je dois veiller tard pour terminer ce projet à temps
cost an arm and a leg; That designer bag costs an arm and a leg, I can't afford it; Ce sac de designer coûte les yeux de la tête, je ne peux pas me le permettre

Expression: take a hike; aller se faire voir
take a hike; I need some time alone, so I told him to take a hike.; Je besoin de passer du temps seul, alors je lui ai dit d'aller se faire voir.
hit the road; Our road trip begins tomorrow, we're all set to hit the road bright and early.; Notre voyage en voiture commence demain, nous sommes prêts à prendre la route de bonne heure.
catch some Z's; I've had a long day, I need to catch some Z's before tomorrow's early meeting.; J'ai eu une longue journée, je dois faire une petite sieste avant la réunion matinale de demain.
make a splash; Her new fashion collection is sure to make a splash in the industry.; Sa nouvelle collection de mode va certainement faire sensation dans l'industrie.
cry over spilled milk; There's no point crying over spilled milk, let's just focus on finding a solution.; Il ne sert à rien de pleurer sur du lait renversé, concentrons-nous juste sur la recherche d'une solution.
jump on the bandwagon; After the successful launch, many other companies started to jump on the bandwagon with similar products.; Après le lancement réussi, beaucoup d'autres entreprises ont commencé à monter dans le train en proposant des produits similaires.
burn the midnight oil; I have a deadline to meet, so I'll be burning the midnight oil tonight to finish this project.; J'ai une échéance à respecter, donc je vais veiller tard ce soir pour terminer ce projet.
piece of cake; The baking competition was tough, but the final round was a piece of cake for her.; Le concours de pâtisserie était difficile, mais la dernière manche était un jeu d'enfant pour elle.
cost an arm and a leg; The luxurious car cost them an arm and a leg, but they were willing to pay for it.; La voiture de luxe leur a coûté un bras, mais ils étaient prêts à payer.
take it with a grain of salt; He tends to exaggerate stories, so I always take them with a grain of salt.; Il a tendance à exagérer ses histoires, donc je les prends toujours avec un grain de sel.

Expression: get lost; aller se faire voir
get lost; He asked for directions but ended up getting lost; Il a demandé des indications mais a fini par se perdre
get lost; Don't tell me to get lost, I have every right to be here; Ne me dis pas de partir, j'ai tout à fait le droit d'être ici
get lost; She took a wrong turn and got lost in the unfamiliar neighborhood; Elle a pris une mauvaise direction et s'est perdue dans le quartier inconnu
get lost; The hikers followed the trail map carefully to avoid getting lost in the forest; Les randonneurs ont suivi attentivement la carte du sentier pour éviter de se perdre dans la forêt
get lost; The tourists got lost in the winding streets of the old town; Les touristes se sont perdus dans les ruelles sinueuses de la vieille ville
get lost; He wandered off by himself and soon found himself lost in the dense forest; Il s'est éloigné seul et s'est bientôt retrouvé perdu dans la forêt dense
get lost; The child got lost in the crowded shopping mall; L'enfant s'est perdu dans le centre commercial bondé
get lost; The signpost was so faded that they got lost trying to find their way; Le panneau indicateur était tellement effacé qu'ils se sont perdus en essayant de trouver leur chemin
get lost; The dog chased after a squirrel and got lost in the woods; Le chien a poursuivi un écureuil et s'est perdu dans les bois
get lost; She got lost in thought while staring out the window; Elle s'est perdue dans ses pensées en regardant par la fenêtre

Expression: kiss my ass; aller se faire voir
kiss my ass; I can't believe you just said that, she told him to kiss her ass.; Je n'arrive pas à croire que tu viennes de dire ça, elle lui a demandé de l'embrasser.
kiss my ass; After being insulted, he turned around and told them to kiss his ass.; Après avoir été insulté, il s'est retourné et leur a dit d'embrasser son cul.
kiss my ass; She had enough of his rude remarks and bluntly told him to kiss her ass.; Elle en avait assez de ses remarques impolies et lui a dit crûment d'embrasser son cul.
kiss my ass; In a fit of anger, he shouted at them to go ahead and kiss his ass.; Dans un accès de colère, il leur a crié d'aller embrasser son cul.
kiss my ass; He was so fed up with their behavior that he dared them to kiss his ass.; Il en avait tellement marre de leur comportement qu'il les a défiés d'embrasser son cul.
kiss my ass; She couldn't believe the audacity of his request for her to kiss his ass.; Elle n'en revenait pas de l'audace de sa demande de l'embrasser.
kiss my ass; There was a moment of silence before she sarcastically retorted, "Why don't you go ahead and kiss my ass?"; Il y eut un moment de silence avant qu'elle ne réplique sarcastiquement : "Pourquoi tu n'irais pas embrasser mon cul ?"
kiss my ass; The response to his unreasonable demand was a clear and defiant "Go kiss my ass."; La réponse à sa demande déraisonnable fut un clair et défiant "Va embrasser mon cul."
kiss my ass; She dismissed his rude behavior with a simple "Just go kiss my ass."; Elle a ignoré son comportement impoli par un simple "Va embrasser mon cul."
kiss my ass; His arrogance was met with a bold defiance as she firmly stated, "You can go kiss my ass."; Son arrogance fut accueillie par un défi audacieux lorsqu'elle a affirmé fermement : "Tu peux aller embrasser mon cul."

Expression: rightly; à bon droit
He was rightly hailed as a hero for his actions during the emergency; Il a été justement salué comme un héros pour ses actions lors de l'urgence.
The judge rightly awarded custody to the child's mother; Le juge a justement accordé la garde à la mère de l'enfant.
She rightly deserved the promotion for her hard work and dedication; Elle méritait justement la promotion pour son travail acharné et son dévouement.
The team was rightly praised for their exceptional performance in the championship game; L'équipe a été justement félicitée pour sa performance exceptionnelle lors du match de championnat.
The decision to invest in new technology was rightly viewed as a strategic move; La décision d'investir dans une nouvelle technologie a été justement considérée comme une démarche stratégique.
He was rightly held responsible for his reckless behavior; Il a été justement tenu responsable de son comportement imprudent.
The artist was rightly recognized for his innovative and captivating paintings; L'artiste a été justement reconnu pour ses peintures innovantes et captivantes.
The company's success was rightly attributed to its strong leadership team; Le succès de l'entreprise a été justement attribué à son équipe de direction solide.
The jury rightly acquitted the defendant due to lack of evidence; Le jury a justement acquitté le prévenu faute de preuves.
The decision to postpone the event was rightly made in consideration of public safety; La décision de reporter l'événement a été justement prise en considération de la sécurité publique.

Expression: rightfully; à bon droit
He rightfully inherited the family fortune; Il a légitimement hérité de la fortune familiale
She deservedly won the championship; Elle a légitimement remporté le championnat
The best employee rightfully received a promotion; Le meilleur employé a légitimement reçu une promotion
The court rightfully ruled in favor of the plaintiff; Le tribunal a légitimement statué en faveur du demandeur
The artist was rightfully recognized for his masterpiece; L'artiste a été légitimement reconnu pour son chef-d'œuvre
He rightfully claimed his position as team captain; Il a légitimement revendiqué son poste de capitaine d'équipe
She rightfully earned the title of valedictorian; Elle a légitimement obtenu le titre de major de promotion
The company rightfully took legal action against the competitor; L'entreprise a légitimement intenté une action en justice contre le concurrent
The rightful heir finally claimed the family estate; L'héritier légitime a finalement revendiqué le domaine familial
The decision to dismiss him was rightfully made; La décision de le licencier a été légitimement prise

Expression: with good reason; à bon droit
with good reason; avec raison
She was proud of her promotion, and with good reason, as she had worked hard for it.; Elle était fière de sa promotion, et avec raison, car elle avait beaucoup travaillé pour l'obtenir.

a blessing in disguise; une bénédiction déguisée
Losing his job turned out to be a blessing in disguise as it pushed him to pursue his passion.; Perdre son emploi s'est révélé être une bénédiction déguisée car cela l'a poussé à poursuivre sa passion.

in the heat of the moment; dans l'émotion du moment
I regret what I said in the heat of the moment, I didn't mean to hurt your feelings.; Je regrette ce que j'ai dit dans l'émotion du moment, je ne voulais pas te blesser.

a drop in the bucket; une goutte d'eau dans l'océan
The funds raised from the bake sale were just a drop in the bucket compared to what was needed for the charity project.; Les fonds récoltés lors de la vente de pâtisseries étaient juste une goutte d'eau dans l'océan par rapport à ce qui était nécessaire pour le projet caritatif.

on cloud nine; sur un petit nuage
Winning the competition put her on cloud nine, she couldn't stop smiling.; Gagner la compétition l'a mise sur un petit nuage, elle ne pouvait s'arrêter de sourire.

